,Address,Name,PriceLevel,Rating,Reviews,lat,lng,placeId
101,,Hong Kong Eatery,1.0,4.1,502,42.3510105,-71.0616268,ChIJPQ5XKHh644kRv5e3BF6epWU
102,,Avana Sushi,1.0,4.4,356,42.3515775,-71.06090859999999,ChIJsfI7JXh644kRRVQfwU7NhLA
103,,My Thai Vegan Cafe,1.0,4.3,892,42.35144469999999,-71.0627071,ChIJB4K3kXd644kRvMVOPEgfei8
104,,Taiwan Cafe,1.0,4.1,529,42.3514738,-71.0602763,ChIJ61-AFXh644kRPUFWWDa7iUI
105,,Phở Pasteur,1.0,4.2,1325,42.351447,-71.0627581,ChIJGT7UkHd644kRBp4xE5qd4jQ
106,,Hot Pot Buffet,2.0,4.0,701,42.3512886,-71.0597529,ChIJ77emQXh644kR3SNyh2nzXPs
107,,New Jumbo Seafood Restaurant,2.0,4.0,230,42.35094309999999,-71.0601915,ChIJrYKsR3h644kRhdRKR6aC7lk
108,,Shabu Zen,2.0,4.5,503,42.3507999,-71.0605296,ChIJh9FKN3h644kRYlEuPWJCu8E
109,,New Saigon Sandwich,1.0,4.5,87,42.3512233,-71.062696,ChIJVa-GmXd644kRfa7TuXe3DQU
110,,Blu,3.0,4.2,157,42.353009,-71.0633577,ChIJ-dSuX51w44kRPFYPRGXwcqo
111,,Wing's Kitchen,1.0,4.5,35,42.3505147,-71.060306,ChIJZVFfNHh644kRA7vv6Ax0DfM
112,,Gaga Seafood Restaurant,1.0,4.2,180,42.3507257,-71.0609313,ChIJS4r5MXh644kRLFxWK1g5h_U
113,,Kaze Shabu Shabu,2.0,4.3,370,42.3523478,-71.0615402,ChIJvynVtoJw44kR4arCsN35U_8
114,,Gourmet China House,2.0,4.1,395,42.35130849999999,-71.0607193,ChIJqahjPHh644kRb8uZzkl4QeA
115,,Irashai,1.0,4.3,259,42.35091660000001,-71.0625455,ChIJQ4a6nHd644kRMTfxLw9ALmg
116,"83 Harrison Ave, Boston",New Dong Khanh Restaurant,1.0,4.4,291,42.3509341,-71.0615938,ChIJp4sPKXh644kRM1rbbAf0GNM
117,"10 Tyler St, Boston",Winsor Dim Sum Café,1.0,4.1,606,42.3509792,-71.06046300000001,ChIJi_wROnh644kRl6rpAPaaZ6M
118,"7 Knapp St, Boston",Potluck Cafe,1.0,3.8,67,42.3511642,-71.0620189,ChIJvcwchnd644kRGlDdHu62WX4
119,"7-15 Beach St, Boston",Sweet Kingdom Dessert,,4.1,121,42.3513734,-71.0622696,ChIJK3PKkXd644kRwFTu4Yijfn8
120,"20 Tyler St, Boston",Jade Garden,2.0,3.9,268,42.350766,-71.060619,ChIJ0UltMXh644kRocWltDnwfls
121,"9 Tyler St, Boston",China Pearl Restaurant,2.0,4.0,592,42.351076,-71.060828,ChIJz5PKO3h644kR_zF5SEKH1Q0
122,"66 Beach St, Boston",New Golden Gate Seafood,1.0,3.9,450,42.351324,-71.0600468,ChIJI3xQQHh644kRnVB-UHOAqNA
123,"2 Tyler St, Boston",Suishaya,2.0,3.8,270,42.3512189,-71.0603762,ChIJzS43P3h644kRGJojsd3P5NM
124,"74 Kneeland St, Boston",Clay Pot Cafe,1.0,4.4,226,42.350496,-71.0604783,ChIJyYldNHh644kRxSj93fanKJA
125,"2017, 58 Beach St, Boston",Five Spices House,2.0,4.1,246,42.3513195,-71.0603163,ChIJ6_cFP3h644kRWusW196frTE
126,"63 Beach St, Boston",Great Taste,1.0,3.9,220,42.3511409,-71.06017589999999,ChIJdd-tQHh644kRCcyUaH395SM
127,"42 Beach St, Boston",Hot Eastern,2.0,4.2,188,42.35154989999999,-71.0609413,ChIJYyuyInh644kRUKKHXurwvzQ
128,"26 Oxford St, Boston",Wai Wai,1.0,4.2,85,42.3516767,-71.0602735,ChIJh16AFXh644kRPEON8cZdaqQ
129,"21 Hudson St, Boston",New Shanghai,2.0,3.8,114,42.35055699999999,-71.060282,ChIJezCiSnh644kRQ7pWLcNYPOE
130,"5 Tyler St, Boston",Ruckus,1.0,4.3,262,42.3512374,-71.0607954,ChIJVYhlO3h644kRaNeeUHBJg-8
131,"75 Kneeland St, Boston",Crave - Mad for Chicken,2.0,4.2,761,42.3501638,-71.0607931,ChIJ5QW5zXl644kRWWRQ42KINNI
132,"690 Washington St, Boston",Empire Garden Restaurant,1.0,3.8,348,42.351302,-71.0627521,ChIJT6O7KWt444kRdhrpLVrTapY
133,"9 Tyler St, Boston",Shojo,2.0,4.4,611,42.35110299999999,-71.0607898,ChIJRV40Onh644kRFHLE15lzefw
134,"685 Washington St, Boston",Penang Malaysian Cuisine,2.0,4.2,767,42.35135349999999,-71.0630597,ChIJJ9EcmHd644kRJQ2x_02GSE8
135,"4 Tyler St, Boston",Peach Farm,2.0,3.8,351,42.351192,-71.06049569999999,ChIJuVlROXh644kRqUIF4W7-ZNo
136,"28 Harrison Ave, Boston",Asian Garden Restaurant,2.0,3.9,145,42.3519435,-71.0610051,ChIJjTz-Inh644kRCme4b9Gc3Is
